,name,low grade,high grade,E,M,H,Private,18-19 Report,17-18 Report,District Code,School Code,PPIN,NCES,Logo,Address1,Address2,Phone,Website,Mission,Report1,Report2,Affiliation,Num Students,Economically Disadvantaged,Curriculum Focus,Percent Choice Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Horlick High School,9,12,,,1,,1,,4620,1711,A1592228,551236001620,Horlick.jpg,2119 Rapids Drive,"Racine, WI 53404",(262) 619-4300,https://www.rusd.org/horlick,"William Horlick High School will develop college and career ready students in a diverse learning community by fostering a culture of Respect, Rigor, Relevance, and Relationships.",Horlick_High_2018-19.PDF,,"Public, Racine Unified",1577,63.5,"Academic, RUSD Academies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Janes Elementary,K4,5,1,,,,1,,4620,0492,,,Janes.jpg,1425 N. Wisconsin St.,"Racine, WI 53402",(262) 664-6550,https://www.rusd.org/janes,To provide Janes students with the most meaningful learning experiences and to support them as they navigate a rigorous and authentic curriculum. ,Janes_Elementary_2018-19.PDF,,"Public, Racine Unified",277,93.9,"Academic, Dual Language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jefferson Lighthouse Elementary School,K5,5,1,,,,1,,4620,0130,,551236001622,Jefferson.jpg,1722 West Sixth Street,"Racine, WI 53404",(262) 664-6900,https://www.rusd.org/jefferson,"Our mission at Jefferson is to have “internationally-minded learners inquire, collaborate, and take action.” The IB Primary Years Programme is a rigorous program that strives for all students to be: inquirers, knowledgeable, thinkers, communicators, principled, open-minded, caring, risk-takers, balanced, and reflective. In addition, the IB focuses on a transdisciplinary approach, connecting all content areas together, and understanding how they work in local and global contexts. ",Jefferson_Lighthouse_Elementar_2018-19.PDF,,"Public, Racine Unified",502,41.2,International Baccalaureate (IB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jerstad-Agerholm K-8 School,K4,8,1,1,,,1,,4620,0132,,551236001623,Jerstad.jpg,3535 LaSalle St.,"Racine, WI 53402",(262) 664-6050,https://www.rusd.org/jams,"Through the fantastic programs, amazing faculty and staff and community partners, Jerstad-Agerholm students are put in a position to be 21st century leaders in the Racine community and beyond.",Jerstad-Agerholm_School_2018-19.PDF,,"Public, Racine Unified",1045,77.3,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,John Paul II Academy,K4,8,1,1,,1,0,2,4620,0314,,551236001624,John Paul II.jpg,2023 Northwestern Ave ,"Racine, WI 53404",(262) 637-2012,http://jp2aracine.org/,"Believe, Grow, Achieve",,John_Paul_II_Academy_2017-18CHOICE.pdf,"Private, Catholic, Siena Schools",174*,76.4*,"Academic, Religious",Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,S. C. Johnson Elementary,K4,5,1,,,,1,,,,01507085,,Johnson.jpg,2420 Kentucky St.,"Racine, WI 53405",(262) 664-6950,https://www.rusd.org/johnson,"SCJ values and embraces the uniqueness of every child. Therefore, SCJ uses a collaborative effort with all stakeholders to promote the growth of the whole child. All students are provided the opportunity to be active members in their global community.",Johnson_Elementary_2018-19.PDF,,"Public, Racine Unified",499,85.2,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Dr. Jones Elementary School,K4,5,1,,,,1,,4620,0136,,551236001626,Jones.jpg,3300 Chicory Rd.,"Racine, WI 53403",(262) 664-8050,https://www.rusd.org/drjones,Be a collaborative professional learning community committed to maximizing every child’s full potential through continuous improvement.,Jones_Elementary_2018-19.PDF,,"Public, Racine Unified",338,81.1,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Julian Thomas Elementary School,K4,5,1,,,,1,,4620,0111,,551236001627,Julianthomas.jpg,930 Martin Luther King Dr.,"Racine, WI 53404",(262) 664-8400,https://www.rusd.org/julianthomas,"Help students take responsibility for their learning and education. The Julian Thomas staff works endlessly to meet the social, emotional and educational needs of all students.",Julian_Thomas_Elementary_2018-19.PDF,,"Public, Racine Unified",422,94.3,"Academic, Community School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Knapp Elementary School,K4,5,1,,,,1,,4620,0720,,551236003337,Knapp.jpg,2701 17th Street,"Racine, WI 53405",(262) 664-8000,https://www.rusd.org/knapp,"Through the combined efforts of the Racine Unified School District, United Way of Racine County, and the community members of Greater Racine, we will strategically combine high quality instructional practices with accessible services, and key partnerships to ensure every family and every child is afforded an equitable opportunity at goal attainment. We believe these concerted efforts will improve the culture and climate of our school and neighborhood and have a positive, lasting impact on our students' overall academic outcomes",Knapp_Elementary_2018-19.PDF,,"Public, Racine Unified",361,87.8,"Academic, Community School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mitchell School,K4,8,1,1,,,1,,4620,0138,,551236001628,Mitchell.jpg,2701 Drexel Avenue,"Racine, WI 53403",(262) 664-6400,https://www.rusd.org/mitchell-ms,"The middle school side focuses on preparing students for high school, stressing the core subjects of math, reading, social studies, and science while providing many opportunities to explore their interests through elective classes, clubs, and after school programming.",Mitchell_School_2018-19.PDF,,"Public, Racine Unified",1260,80.8,"Academic, STEAM (Science, Technology, Engineering, Allied Arts and Math) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North Park Elementary,K4,5,1,,,,1,,4620,2370,01512696,,North Park.jpg,4748 Elizabeth St.,"Racine, WI 53402",(262) 664-6450,https://www.rusd.org/northpark,"North Park's school community models the importance of literacy and respect for the environment in building a better world one student at a time. At North Park, we believe that an effective school develops the skills and talents of every student to his or her fullest potential.",North_Park_Elementary_2018-19.PDF,,"Public, Racine Unified",296,77.7,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Olympia Brown Elementary,K4,5,1,,,,1,,4620,0148,,551236001632,Olympia Brown.jpg,2115 5 1/2 Mile Rd.,"Racine, WI 53402",(262) 664-6650,https://www.rusd.org/olympiabrown,Educating Every Student to Succeed-- all students will graduate career and/or college ready. ,O_Brown_Elementary_2018-19.PDF,,"Public, Racine Unified",469,42.2,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Our Lady of Grace Academy,K4,8,1,1,,1,0,2,4620,0150,,551236001634,Our Lady of Grace.jpg,1435 Grove Avenue,"Racine, WI 53405",(262) 833-7100,http://www.ologa.org,"We live the Catholic values of trust, respect, dignity, and forgiveness. We educate and form children to see through the eyes of Christ, embracing faith, hope, and love.",,Our_Lady_of_Grace_Academy_2017-18CHOICE.pdf,"Private, Catholic, Siena Schools",191*,74.9*,"Academic, Religious",Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Park High School,9,12,,,1,,1,,4620,0112,,551236001605,Park.jpg,1901 12th Street,"Racine, WI 53403",(262) 619-4400,https://www.rusd.org/park,"Park is known for its rich tradition of excellence in academics, sports and activities… Its ultimate goal is to have classrooms where students and staff can live and learn in a climate of mutual respect. Further, it will strive to promote an environment where all can take pride in their ethnic and racial heritage. Such goals of respect and understanding have value for development of the greater society in which we all live. ",Park_High_2018-19.PDF,,"Public, Racine Unified",1324,71.9,"Academic, RUSD Academies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,The Prairie School ,5,8,,1,,1,0,,,"0494
2317",A1504156,551236001635,Prairie.jpg,4050 Lighthouse Drive,"Racine, WI 53402",( 262) 752-2500,https://www.prairieschool.com,"The Prairie School nurtures the creativity, interests and abilities of every student, inspiring each to explore, thrive, and add value individually and in collaboration with others. Our community of students, faculty, and families works together to create a collaborative and supportive culture grounded in human values – celebrating both our differences and commonalities.  Prairie graduates are prepared for college and life with the desire and skills to make the world a better place.",Not available,,"Private, Independent",Not Available,Not Available,Academic,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Racine Alternative Learning,K5,12,1,1,1,,1,,4620,0801,,551236003045,RAL.jpg,2333 Northwestern Avenue,"Racine, WI 53404",(262) 664-6600,https://www.rusd.org/alternative-education,"Our mission is to provide alternative pathways for students to meet their graduation requirements through personalized and blended learning. Our vision is that students will acquire the skills to be college and career ready and demonstrate the knowledge, skills and values required to be productive global citizens.",Racine_Alternative_Learning_2018-19.PDF,,"Public, Racine Unified",213,81.7,"Academic, Credit Recovery, High School Alternatives, Special Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Racine Christian School,K5,8,1,1,,1,1,,4620,2360,01513215,,Racine Christian.jpg,912 Virginia Street,"Racine, WI 53405",(262) 634-0961,https://www.racinechristianschool.com,The Racine Christian School exists to glorify God by providing a Christ-centered education for its students. This education is based upon the infallible Word of God interpreted in conjunction with the confessional statements of the Reformed Churches.,,Racine_Christian_School_2018-19CHOICE.PDF,"Private, Religious, Christian Schools International",61,0,"Academic, Religious",45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Racine Lutheran High School,9,12,,,1,1,2,,,,,,Racine Lutheran.jpg,251 Luedtke Avenue,"Racine, WI 53402",(262) 637-6538,http://www.racinelutheran.org,"Racine Lutheran High School’s mission is to guide our youth in faith, learning, character and leadership by nurturing their relationship with Jesus Christ, and educating them for a life of service to God and man.",Lutheran_High_2018-19ALL.pdf,Lutheran_High_2018-19CHOICE.PDF,"Private, Religious, Lutheran Church - Missouri Synod",264,17.4,"Academic, Religious",61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Racine Montessori School,K4,8,1,1,,1,0,,,,01511295,,Racine Montessori.jpg,2317 Howe Street,"Racine, WI 53402",(262) 637-7802,https://www.racinemontessori.com,"Montessori is a hands-on approach to learning. It encourages children to develop their observation skills through activities that use the five senses, kinetic movement, spatial refinement, small and gross motor skill coordination, and concrete knowledge that leads to later abstraction.",Not Available,,"Private, Independent",Not Available,Not Available,"Academic, Montessori",Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Red Apple Elementary School,K4,5,1,,,,1,,4620,0174,,551236001636,Red Apple.jpg,914 St. Patrick Street,"Racine, WI 53402",(262) 619-4500,https://www.rusd.org/redapple-es,"Through STEAM, Red Apple Elementary engages, inspires and empowers a community of learners in critical thinking, collaboration and innovation; preparing students to be college and/or career ready in alignment with the [RUSD] North Star vision.",Red_Apple_Elementary_2018-19.PDF,,"Public, Racine Unified",386,52.1,"STEAM (Science, Technology, Engineering, Allied Arts, Math",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Renaissance School,K4,8,1,1,,1,2,,4620,1619,,,Renaissance.jpg,"4K-6
6150 Taylor Avenue
4K-8
1510 Villa Avenue","
Racine, WI 53405

Racine, WI 53403","
(262) 554-6768

(262) 634-3010",https://www.luminschools.org/LUMIN-Schools/Our-Schools/Renaissance-School.htm,"Our purpose is to provide safe, Christian schools focused on educational success, leadership development and spiritual growth. We help our students work hard to achieve greatness by nurturing and equipping them in a strong Christian and academic environment to become lifelong learners, capable of making responsible decisions, growing in faith and serving God and the community.",Renaissance_School_2018-19ALL.PDF,Renaissance_School_2018-19CHOICE.PDF,"Private, Religious, Lutheran Urban Mission Initiative (LUMIN), Lutheran Church - Missouri Synod",346,82.3,"Academic, Religious",96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Roosevelt Elementary School,K4,5,1,,,,1,,4620,0154,,551236001637,Roosevelt.jpg,915 Romayne Avenue,"Racine, WI 53402",(262) 664-8300,https://www.rusd.org/roosevelt,"Roosevelt Elementary School is a positive learning community where every student and staff member strives to become collaboratively focused on maximum student academic, social and emotional growth in order to meet the RUSD North Star goals. Roosevelt is a neighborhood school with a lot of heart. ",Roosevelt_Elementary_2018-19.PDF,,"Public, Racine Unified",340,87.4,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RUSD Montessori School at Goodland,K4,5,1,,,,1,,4620,0101,,551236003044,RUSD Montessori.jpg,4800 Graceland Boulevard,"Racine, WI 53408",(262) 664-6850,https://www.rusd.org/montessori,"Montessori education is a method of education based on self-directed learning activities that emphasize learning through all five senses and multi-age classrooms. Children in Montessori classes learn at their own, individual pace and according to their own choice of activities from hundreds of possibilities. Learning is an exciting process of discovery, leading to concentration, coordination, motivation, self-discipline, and independence.  ",Goodland_Elementary_2018-19.PDF,,"Public, Racine Unified",130,32.3,"Academic, Montessori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Saint Catherine's School,6,12,,1,1,1,2,,,,01507096,,St. Catherines.jpg,1200 Park Avenue,"Racine, WI 53405",(262) 632-2785,https://www.saintcats.org,"St. Catherine’s educates students in the Catholic faith, fostering an environment of academic and behavioral excellence to create lifelong learners and globally responsible citizens. St. Catherine’s is built on the Dominican values of Study, Prayer, Service and Community.",Saint_Catherines_High_2017-18ALL.pdf,Saint_Catherines_High_2017-18CHOICE.pdf,"Private, Catholic, Siena Schools",687*,51.9,"Academic, Religious",100*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Saint John's Lutheran School,K3,8,1,1,,,,,,,01511444,,st-johns-logo.jpg,510 Kewaunee Street,"Racine, WI 53402",(262) 633-2758,https://www.stjohnsracine.org,"At St. John's Lutheran School, we provide an educational environment that strives to enrich the ""whole"" child in a ""holy"" way. We challenge the academic development of all children in a setting that nurtures the gifts each child has been given by God. Our spiritual climate encourages an active faith in Jesus Christ, our Lord and Savior. Our students in 3-year old preschool to 8th grade are daily challenged by caring teachers to stretch both their minds and hearts in a grace filled environment.",,,"Private, Religious, Lutheran-Missouri Synod",222,24.3,"Academic, Religious",72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Saint Joseph School,K3,8,1,1,,1,0,2,,,,,St. Joseph.jpg,1525 Erie Street,"Racine, WI 53402",(262) 633-2403,http://www.st-joes-school.org,"Catholic schools in the Archdiocese of Milwaukee uniquely balance faith and education. We do more than prepare students for tests in the classroom. We prepare them for tests in life. Students participate in daily prayer and religion classes, have frequent opportunities for worship and Mass attendance, and receive sacramental preparation. Students are taught to be respectful and compassionate, and emphasis is placed not only on academic achievement, but on moral and spiritual growth.",Saint_Joseph_Grade_School_2017-18ALL.pdf,Saint_Joseph_Grade_School_2017-18CHOICE.pdf,"Private, Catholic, Siena Schools",169*,51.9*,"Academic, Religious",1.8*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Saint Lucy School,K3,8,1,1,,1,2,,,,01507755,,St. Lucy.jpg,3035 Drexel Avenue,"Racine, WI 53403",(262) 554-1801 X211,https://www.stlucysschool.com,"St. Lucy Catholic Parish School is a community of parents, students, parishioners, and staff faithful to the teachings of the Catholic Church, providing a full range of educational programs inspired by the Gospel message.",Saint_Lucy_Grade_School_2018-19ALL.PDF,Saint_Lucy_Grade_School_2018-19CHOICE.PDF,"Private, Catholic, Siena Schools",190,21.1,"Academic, Religious",21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saint Rita School,K5,8,1,1,,1,2,,,,01506525,,St. Rita.jpg,4433 Douglas Avenue,"Racine, WI 53402",(262) 639-3333,https://www.st-ritasschool.org,"Our identity as a Catholic school is woven into every aspect of school life. Each child's personal relationship with Jesus is forefront. We foster this relationship with daily religion class, daily prayer, weekly mass, and seasonal religious activities. We encourage our families to carry on this mission at home by attending mass each weekend and setting and achieving faith goals.",Saint_Rita_School_2018-19ALL.PDF,Saint_Rita_School_2018-19CHOICE.PDF,"Private, Catholic, Siena Schools",148,51.9,"Academic, Religious",9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Schulte Elementary School,K4,5,1,,,,1,,4620,0166,,551236001638,Schulte.jpg,8515 Westminster Drive,"Sturtevant, WI 53177",(262) 664-6300,https://www.rusd.org/schulte,"""It's all about the kids.""  At Schulte, it is our staff's responsibility to provide a child-centered school community that is both academically challenging and supportive. All students will reach their individual potential and make a positive impact on society.",Schulte_Elementary_2018-19.PDF,,"Public, Racine Unified",422,52.4,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Siena Catholic Schools of Racine,K4,12,1,1,1,1,2,,4620,3430,,,Siena.jpg,"245 Main Street, Suite L-2","Racine, WI 53403",(262) 639-3333,https://www.sienacatholicschools.org,"Siena Catholic Schools of Racine unites the area’s five Catholic elementary schools (John Paul II Academy, Our Lady of Grace Academy, St. Joseph, St. Lucy, St. Rita) and one middle/high school (St. Catherine’s) in a regional model of Catholic education intended to preserve the individual identity, history and uniqueness of each school while maximizing the impact of collective strength. We are committed to educating in a Catholic learning environment rooted in Christ’s teachings and characterized by academic excellence, servant leadership, student diversity, personal accountability and respect for every individual.",Siena_Catholic_Schools_of_Raci_2018-19ALLPDF.pdf,Siena_Catholic_Schools_of_Raci_2018-19CHOICE.PDF,"Private, Religious, Catholic",1255,54.4,"Academic, Religious",83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Small World Montessori School,K3,K5,1,,,1,,,,,K9306402,,,1908 High Street,"Racine, WI 53402",(262) 632-6797,https://www.swmschool.org,"Provide a safe, home-like atmosphere for your children to learn.",,,"Private, Independent",Not Available,Not Available,Montessori,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sonnenberg School,K4,5,1,,,1,0,,4620,1750,,551236001639,Sonnenberg.jpg,9605 Spring Street,"Mt. Pleasant, WI 53406",(262) 671-5015,https://www.sonnenbergschool.com,"Our mission at Sonnenberg School is to provide an educational environment that is loving, safe, and supportive, focused on preparing students academically, socially, and emotionally for their future lives of success. Designed specifically to meet the needs of students on the Autism Spectrum, Sonnenberg School ensures that all students receive an outstanding education from highly qualified and caring teachers. We work to help every child develop his or her unique gifts and talents to the fullest potential.",Not Available,,"Private, Independent",Not Available,Not Available,Academic,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Starbuck IB World School,6,8,,1,,,1,,4620,0288,,551236002471,Starbuck (1).jpg,1516 Ohio Street,"Racine, WI 53405",(262) 664-6500,www.rusd.org/starbuck,"Starbuck Middle School is an International Baccalaureate (IB) World School for the Middle Years Programme (MYP). The IB MYP is a framework for teaching that benefits all students. It addresses a wide variety of learning styles, involves all students in their own unique learning processes and gives students a standard, internationally accepted foundation of knowledge.… Students who participate in the IB MYP become independent learners who can recognize relationships between school subjects and the world outside. Through the IB Programme, Starbuck offers an inquiry-based curriculum that empowers students to become responsible world citizens and lifelong learners.",Starbuck_-_An_IB_World_School_2018-19.PDF,,"Public, Racine Unified",662,71,"Academic, International Baccalaureate (IB)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,The R.E.A.L. School,6,12,,1,1,,1,,4620,0800,,,REAL School.jpg,11106 Stellar Avenue,"Sturtevant, WI 53177",(262) 664-6100,https://www.rusd.org/real,The mission of the Racine Engineering Arts and Leadership (REAL) School is to motivate every student to assume accountability for his/her own educational process while becoming a joyful lifelong learner and successful in careers and family. Every student will have a purpose and identity that drives their self-confidence and skill development necessary to succeed in life.,REAL_School-Racine_Educati_2018-19.PDF,,"Public, Racine Unified",504,42.1,"Academic, Engineering, RUSD Choice School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Trinity Lutheran School,K4,8,1,1,,1,2,,4620,8540,01511433,551236001642,Trinitylutheranjpg.jpg,2065 Geneva Street,"Racine, WI 53402",(262) 632-2900,http://www.trinityracine.com/primary-school,"The mission of Trinity Lutheran School is to partner with parents to guide and educate children and families to know that they are redeemed children of God. As such, through education, they will identify, develop, and utilize their God-given talents, thereby preparing them to spread the good news of Jesus Christ to all nations and serve their neighbor. ",Trinity_Lutheran_School_LC-MS_2018-19ALL.PDF,Trinity_Lutheran_School_LC-MS_2018-19CHOICE.PDF,"Private, Religious, Lutheran Church - Missori Synod",187,41.7,"Academic, Religious",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Wadewitz Elementary School,K4,5,1,,,,1,,4620,0162,,551236001644,Wadewitz.jpg,2700 Yout Street,"Racine, WI 53404",(262) 664-6000,https://www.rusd.org/wadewitz,"Wadewitz is a Title I school which provides Title I teachers and ""Literacy Educational Assistants"" to help all children improve their reading, writing and grammar skills. The staff at Wadewitz has made a personal commitment to provide a safe and nurturing learning environment for all of our students. Wadewitz is a great place for children to have exciting learning opportunities in a safe and caring environment!",Wadewitz_Elementary_2018-19.PDF,,"Public, Racine Unified",551,84.8,"Academic, Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
